fecha_primeros_sintomas,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27
activos,1,2,2,9,10,6,6,3,12,17,14,53,73,85,90,112,141,203,252,311,419,561,723,974,1210,1454,1710,2026,2261,2506,2809,3005,3179,3342,3403,3473,3491,3581,3547,3687,3770,3773,3839,3842,3943,4004,4080,4253,4325,4362,4308,4517,4660,4926,5192,5353,5502,5640,6189,6505,6964,7450,7943,8481,8923,10040,11145,12332,13788,15609,17459,19413,22361,24806,27237,29837,32353,34518,37018,40344,42290,43889,45298,46923,48245,49352,51493,52427,54726,55109,55420,55628,55906,57919,57319,57425,57828,57194,56829,54942,57293,56394,55985,55997,54900,54437,53373,53730,52685,52288,51969,49556,48960,48015,48337,47372,46821,46927,45580,45129,43734,43563,42408,41484,40953,39310,37884,36551,35200,34138,33724,33148,31967,30902,29911,29608,28862,28413,28141,27991,27020,25624,25565,25170,24925,24413,23846,23325,22688,22826,22309,22247,22396,21993,21521,20914,21415,21063,20936,21192,20729,20649,20286,20337,20304,20389,20772,20430,20062,19562,19723,19625,19470,19507,19180,18648,18112,18229,18280,18555,19179,18916,18545,18163,18653,18844,19379,19931,19945,19547,19096,19327,19599,20079,20615,20550,20133,19482,19681,19519,19745,20070,19632,18939,18204,18027,17656,17596,17835,17086,16489,16152,16565,16583,16968,17449,17554,17266,16958,17480,17772,18007,18247,17822,17373,16748,16797,16613,16781,17213,16735,16503,16085,15758,15895,16254,16698,16487,16046,15620,15762,15721,15754,15995,16044,15387,14802,14859,14934,15241,15397,14997,14540,14249,14705,14820,15091,15397,15176,14771,14334,14741,14957,15318,15543,15148,14797,14441,14684,14741,14989,15373,15205,14765,14406,14799,14969,15294,15697,15552,15277,14909,15248,15539,16166,16790,16781,16657,16429,17057,17225,18024,18883,19022,18925,18730,19446,19975,20669,21463,21488,21683,21481,22316,22836,23562,24154,23773,24025,24412,26180,27270,28596,29494,29505,30151,30779,33585,35801,37572,39178,39560,39824,39661,41709,43162,44162,45132,44436,43670,42473,43057,42888,43299,43734,42340,40353,37841,36054,32917,29592
recuperados,0,0,0,0,0,0,0,0,0,0,0,1,2,3,11,13,17,19,20,31,37,45,54,75,88,101,125,158,222,272,342,456,606,777,1049,1298,1555,1835,2184,2483,2778,3151,3461,3785,4119,4452,4771,5046,5416,5731,6170,6548,6924,7300,7627,8062,8456,8851,9299,9741,10093,10478,11065,11584,12226,12819,13415,13958,14491,15488,16246,17057,17928,19008,20065,21149,22859,24560,26290,28279,31097,33705,36470,40289,43814,47302,50986,55212,59078,63308,68623,73387,77594,81768,87212,92059,96654,102479,107639,113804,118417,124043,129015,133500,139687,144531,149484,154482,159673,164468,168746,175710,180437,185000,189497,194587,198968,202857,208212,212358,216756,220715,225266,229397,233015,237834,241959,245789,249784,253792,257487,260490,264278,267674,270881,273968,277144,279843,282340,284984,287930,291211,293638,296245,298576,300792,303576,306006,308256,310481,312975,314950,316835,319203,321415,323501,325205,327422,329331,330944,333307,335284,337197,339231,341196,342936,344415,346620,348485,350267,352136,354036,355933,357483,359568,361500,363325,365187,367050,368547,369829,371859,373661,375403,376990,378748,380148,381437,383416,385330,387102,389008,390775,392206,393566,395643,397592,399527,401368,403361,404877,406198,408335,410374,412285,414181,416193,417725,419009,421049,422880,424622,426268,427967,429313,430489,432208,433849,435321,436844,438135,439369,440774,442833,444550,446281,447938,449762,451115,452279,454324,455907,457376,459021,460655,461923,463029,464735,466375,467896,469492,471059,472410,473461,474779,476550,478177,479727,481222,482421,483516,485254,486780,488164,489456,490823,491937,492979,494586,496156,497662,498913,500251,501320,502413,504161,505643,507028,508376,509762,510927,511996,513654,515208,516638,517956,519309,520440,521469,523060,524503,525916,527369,528859,529973,531044,532755,534278,535734,537166,538612,539780,540825,542617,544398,546139,547834,549536,550935,552163,554223,555837,557804,559708,561639,563323,564869,567280,569511,571604,573626,575711,577520,579285,582024,584475,586885,589023,591053,593536,596016,599806,602981,606116,608779,611529,614626,617664,622608,626854,631108,635194,639366,642805,645777,650488,654691,658788,662796,667044,670524
