fecha_primeros_sintomas,Casos,Total
2020-09-24,activos,17449
2020-09-25,activos,17554
2020-09-26,activos,17266
2020-09-27,activos,16958
2020-09-28,activos,17480
2020-09-29,activos,17772
2020-09-30,activos,18007
2020-10-01,activos,18247
2020-10-02,activos,17822
2020-10-03,activos,17373
2020-10-04,activos,16748
2020-10-05,activos,16797
2020-10-06,activos,16613
2020-10-07,activos,16781
2020-10-08,activos,17213
2020-10-09,activos,16735
2020-10-10,activos,16503
2020-10-11,activos,16085
2020-10-12,activos,15758
2020-10-13,activos,15895
2020-10-14,activos,16254
2020-10-15,activos,16698
2020-10-16,activos,16487
2020-10-17,activos,16046
2020-10-18,activos,15620
2020-10-19,activos,15762
2020-10-20,activos,15721
2020-10-21,activos,15754
2020-10-22,activos,15995
2020-10-23,activos,16044
2020-10-24,activos,15387
2020-10-25,activos,14802
2020-10-26,activos,14859
2020-10-27,activos,14934
2020-10-28,activos,15241
2020-10-29,activos,15397
2020-10-30,activos,14997
2020-10-31,activos,14540
2020-11-01,activos,14249
2020-11-02,activos,14705
2020-11-03,activos,14820
2020-11-04,activos,15091
2020-11-05,activos,15397
2020-11-06,activos,15176
2020-11-07,activos,14771
2020-11-08,activos,14334
2020-11-09,activos,14741
2020-11-10,activos,14957
2020-11-11,activos,15318
2020-11-12,activos,15543
2020-11-13,activos,15148
2020-11-14,activos,14797
2020-11-15,activos,14441
2020-11-16,activos,14684
2020-11-17,activos,14741
2020-11-18,activos,14989
2020-11-19,activos,15373
2020-11-20,activos,15205
2020-11-21,activos,14765
2020-11-22,activos,14406
2020-11-23,activos,14799
2020-11-24,activos,14969
2020-11-25,activos,15294
2020-11-26,activos,15697
2020-11-27,activos,15552
2020-11-28,activos,15277
2020-11-29,activos,14909
2020-11-30,activos,15248
2020-12-01,activos,15539
2020-12-02,activos,16166
2020-12-03,activos,16790
2020-12-04,activos,16781
2020-12-05,activos,16657
2020-12-06,activos,16429
2020-12-07,activos,17057
2020-12-08,activos,17225
2020-12-09,activos,18024
2020-12-10,activos,18883
2020-12-11,activos,19022
2020-12-12,activos,18925
2020-12-13,activos,18730
2020-12-14,activos,19446
2020-12-15,activos,19975
2020-12-16,activos,20669
2020-12-17,activos,21463
2020-12-18,activos,21488
2020-12-19,activos,21683
2020-12-20,activos,21481
2020-12-21,activos,22316
2020-12-22,activos,22836
2020-12-23,activos,23562
2020-12-24,activos,24154
2020-12-25,activos,23773
2020-12-26,activos,24025
2020-12-27,activos,24412
2020-12-28,activos,26180
2020-12-29,activos,27270
2020-12-30,activos,28596
2020-12-31,activos,29494
2021-01-01,activos,29505
2021-01-02,activos,30151
2021-01-03,activos,30779
2021-01-04,activos,33585
2021-01-05,activos,35801
2021-01-06,activos,37572
2021-01-07,activos,39178
2021-01-08,activos,39560
2021-01-09,activos,39824
2021-01-10,activos,39661
2021-01-11,activos,41709
2021-01-12,activos,43162
2021-01-13,activos,44162
2021-01-14,activos,45132
2021-01-15,activos,44436
2021-01-16,activos,43670
2021-01-17,activos,42473
2021-01-18,activos,43057
2021-01-19,activos,42888
2021-01-20,activos,43299
2021-01-21,activos,43734
2021-01-22,activos,42340
2021-01-23,activos,40353
2021-01-24,activos,37841
2021-01-25,activos,36054
2021-01-26,activos,32917
2021-01-27,activos,29592
2020-02-22,recuperados,0
2020-02-23,recuperados,0
2020-02-24,recuperados,0
2020-02-25,recuperados,0
2020-02-26,recuperados,0
2020-02-27,recuperados,0
2020-02-28,recuperados,0
2020-02-29,recuperados,0
2020-03-01,recuperados,0
2020-03-02,recuperados,0
2020-03-03,recuperados,0
2020-03-04,recuperados,1
2020-03-05,recuperados,2
2020-03-06,recuperados,3
2020-03-07,recuperados,11
2020-03-08,recuperados,13
2020-03-09,recuperados,17
2020-03-10,recuperados,19
2020-03-11,recuperados,20
2020-03-12,recuperados,31
2020-03-13,recuperados,37
2020-03-14,recuperados,45
2020-03-15,recuperados,54
2020-03-16,recuperados,75
2020-03-17,recuperados,88
2020-03-18,recuperados,101
2020-03-19,recuperados,125
2020-03-20,recuperados,158
2020-03-21,recuperados,222
2020-03-22,recuperados,272
2020-03-23,recuperados,342
2020-03-24,recuperados,456
2020-03-25,recuperados,606
2020-03-26,recuperados,777
2020-03-27,recuperados,1049
2020-03-28,recuperados,1298
2020-03-29,recuperados,1555
2020-03-30,recuperados,1835
2020-03-31,recuperados,2184
2020-04-01,recuperados,2483
2020-04-02,recuperados,2778
2020-04-03,recuperados,3151
2020-04-04,recuperados,3461
2020-04-05,recuperados,3785
2020-04-06,recuperados,4119
2020-04-07,recuperados,4452
2020-04-08,recuperados,4771
2020-04-09,recuperados,5046
2020-04-10,recuperados,5416
2020-04-11,recuperados,5731
2020-04-12,recuperados,6170
2020-04-13,recuperados,6548
2020-04-14,recuperados,6924
2020-04-15,recuperados,7300
2020-04-16,recuperados,7627
2020-04-17,recuperados,8062
2020-04-18,recuperados,8456
2020-04-19,recuperados,8851
2020-04-20,recuperados,9299
2020-04-21,recuperados,9741
2020-04-22,recuperados,10093
2020-04-23,recuperados,10478
2020-04-24,recuperados,11065
2020-04-25,recuperados,11584
2020-04-26,recuperados,12226
2020-04-27,recuperados,12819
2020-04-28,recuperados,13415
2020-04-29,recuperados,13958
2020-04-30,recuperados,14491
2020-05-01,recuperados,15488
2020-05-02,recuperados,16246
2020-05-03,recuperados,17057
2020-05-04,recuperados,17928
2020-05-05,recuperados,19008
2020-05-06,recuperados,20065
2020-05-07,recuperados,21149
2020-05-08,recuperados,22859
2020-05-09,recuperados,24560
2020-05-10,recuperados,26290
2020-05-11,recuperados,28279
2020-05-12,recuperados,31097
2020-05-13,recuperados,33705
2020-05-14,recuperados,36470
2020-05-15,recuperados,40289
2020-05-16,recuperados,43814
2020-05-17,recuperados,47302
2020-05-18,recuperados,50986
2020-05-19,recuperados,55212
2020-05-20,recuperados,59078
2020-05-21,recuperados,63308
2020-05-22,recuperados,68623
2020-05-23,recuperados,73387
2020-05-24,recuperados,77594
2020-05-25,recuperados,81768
2020-05-26,recuperados,87212
2020-05-27,recuperados,92059
2020-05-28,recuperados,96654
2020-05-29,recuperados,102479
2020-05-30,recuperados,107639
2020-05-31,recuperados,113804
2020-06-01,recuperados,118417
2020-06-02,recuperados,124043
2020-06-03,recuperados,129015
2020-06-04,recuperados,133500
2020-06-05,recuperados,139687
2020-06-06,recuperados,144531
2020-06-07,recuperados,149484
2020-06-08,recuperados,154482
2020-06-09,recuperados,159673
2020-06-10,recuperados,164468
2020-06-11,recuperados,168746
2020-06-12,recuperados,175710
2020-06-13,recuperados,180437
2020-06-14,recuperados,185000
2020-06-15,recuperados,189497
2020-06-16,recuperados,194587
2020-06-17,recuperados,198968
2020-06-18,recuperados,202857
2020-06-19,recuperados,208212
2020-06-20,recuperados,212358
2020-06-21,recuperados,216756
2020-06-22,recuperados,220715
2020-06-23,recuperados,225266
